fen,eval
rn2B2r/p1pbk3/3pq3/1p3P2/2p1P3/P5PN/1P1b2KP/RN3R2 w - - 0 28,-0.7100
rn2B2r/p1pbk3/3pq3/1p3P2/2p1P3/P5PN/1P1b2KP/RN1R4 b - - 1 28,-7.7600
rn2B2r/p1pbk3/3pq3/5P2/1pp1P3/P5PN/1P1b2KP/RN1R4 w - - 0 29,-2.1900
rn2B2r/p1pbk3/3pq3/5P2/1pp1P3/P5PN/1P1b2KP/RNR5 b - - 1 29,-6.8000
rn2B2r/p1p1k3/2bpq3/5P2/1pp1P3/P5PN/1P1b2KP/RNR5 w - - 2 30,-4.0800
rn2B2r/p1p1k3/2bpq3/5P2/1pp1P3/P5PN/1P1b1K1P/RNR5 b - - 3 30,-7.3700
rnbqkbnr/p1pp1ppp/8/1p2p3/7P/4P3/PPPPBPP1/RNBQK1NR b KQkq - 1 3,0.0800
rnb1kbnr/p1pp1ppp/8/1p2p1q1/7P/4P3/PPPPBPP1/RNBQK1NR w KQkq - 2 4,7.1300
rnb1kbnr/p1pp1ppp/8/1p2p1q1/P6P/4P3/1PPPBPP1/RNBQK1NR b KQkq - 0 4,2.1900
rnb1k1nr/p1pp1ppp/8/1p2p1q1/P6P/b3P3/1PPPBPP1/RNBQK1NR w KQkq - 1 5,8.0400
rnb1k1nr/p1pp1ppp/8/1p2p1q1/P6P/bP2P3/2PPBPP1/RNBQK1NR b KQkq - 0 5,4.0700
rnb1k1nr/p1pp1ppp/6q1/1p2p3/P6P/bP2P3/2PPBPP1/RNBQK1NR w KQkq - 1 6,5.2900
rnb1k1nr/p1pp1ppp/6q1/1p2p3/P1P4P/bP2P3/3PBPP1/RNBQK1NR b KQkq - 0 6,0.1300
rnb1k1nr/p2p1ppp/2p3q1/1p2p3/P1P4P/bP2P3/3PBPP1/RNBQK1NR w KQkq - 0 7,4.7800
rnb1k1nr/p2p1ppp/2p3q1/1p2p3/P1P4P/NP2P3/3PBPP1/R1BQK1NR b KQkq - 0 7,3.6600
rnb1k1nr/p2p1ppp/2p3q1/4p3/P1p4P/NP2P3/3PBPP1/R1BQK1NR w KQkq - 0 8,5.1800
rnb1k1nr/p2p1ppp/2p3q1/4p3/P1p4P/NP2P1P1/3PBP2/R1BQK1NR b KQkq - 0 8,4.9300
rn2k1nr/p2p1ppp/b1p3q1/4p3/P1p4P/NP2P1P1/3PBP2/R1BQK1NR w KQkq - 1 9,5.8200
rn2k1nr/p2p1ppp/b1p3q1/4p3/P1p3BP/NP2P1P1/3P1P2/R1BQK1NR b KQkq - 2 9,3.1600
rn2k1nr/p2p1ppp/b5q1/2p1p3/P1p3BP/NP2P1P1/3P1P2/R1BQK1NR w KQkq - 0 10,4.3200
rn2k1nr/p2p1ppp/b5q1/2p1p3/P1p3BP/1P2P1P1/2NP1P2/R1BQK1NR b KQkq - 1 10,1.6200
